sample_idx,timestamp,C3,C4,Cz,Fz,label_int,label_str
0,0.0,-2.3346,-2.6276,1.9308,0.4402,0,REST
1,0.00390625,-0.505,4.2301,2.1453,5.833,0,REST
2,0.0078125,8.6208,8.5217,6.522,6.035,0,REST
3,0.01171875,8.5485,9.9354,6.3709,9.6983,0,REST
4,0.015625,9.1792,11.2765,10.4248,9.3761,0,REST
5,0.01953125,10.1431,14.1135,9.4693,12.0472,0,REST
6,0.0234375,10.3724,16.0967,10.4161,11.4523,0,REST
7,0.02734375,12.8504,13.5554,11.4382,10.4383,0,REST
8,0.03125,15.864,8.4149,9.249,9.5328,0,REST
9,0.03515625,6.5104,10.0013,7.8832,5.2431,0,REST
10,0.0390625,9.0461,6.3735,8.6758,3.7143,0,REST
11,0.04296875,5.0513,4.6913,5.5452,-0.294,0,REST
12,0.046875,0.1209,2.199,1.593,-2.7291,0,REST
13,0.05078125,-3.7353,-6.4333,-1.6408,-3.3474,0,REST
14,0.0546875,-4.5314,-3.5506,-8.8645,-6.4154,0,REST
15,0.05859375,-6.268,-7.878,-8.5632,-11.6966,0,REST
16,0.0625,-12.5553,-11.0962,-11.2989,-10.9359,0,REST
17,0.06640625,-13.1019,-12.4967,-11.583,-12.9789,0,REST
18,0.0703125,-14.2878,-12.7902,-10.5268,-10.7426,0,REST
19,0.07421875,-9.9823,-8.8398,-12.9615,-12.1697,0,REST
20,0.078125,-12.1316,-12.6853,-8.2464,-5.1337,0,REST
21,0.08203125,-8.1175,-6.6845,-7.8056,-7.3969,0,REST
22,0.0859375,-7.6186,-4.6965,-7.7602,-2.2961,0,REST
23,0.08984375,-1.7468,-2.868,-1.9063,1.247,0,REST
24,0.09375,2.845,1.0792,-1.97,4.4111,0,REST
25,0.09765625,0.775,5.5195,2.861,8.9014,0,REST
26,0.1015625,5.2629,6.0282,5.6724,10.2723,0,REST
27,0.10546875,6.5449,8.5474,7.1373,11.6657,0,REST
28,0.109375,7.4644,10.1338,7.5905,11.3732,0,REST
29,0.11328125,13.7895,11.9747,7.1371,9.1339,0,REST
30,0.1171875,8.9786,7.4588,8.7562,9.6137,0,REST
31,0.12109375,11.2837,15.5686,6.9879,7.1395,0,REST
32,0.125,3.5328,6.5979,13.0972,5.2622,0,REST
33,0.12890625,7.5115,7.0362,7.7785,5.9058,0,REST
34,0.1328125,7.3767,2.8838,6.9376,-0.5499,0,REST
35,0.13671875,3.593,2.3475,3.82,1.5766,0,REST
36,0.140625,-2.1132,0.3872,0.8883,-5.5884,0,REST
37,0.14453125,-2.8994,-2.0834,-5.8343,-6.6376,0,REST
38,0.1484375,-1.389,-10.3484,-1.7695,-7.8873,0,REST
39,0.15234375,-6.2622,-11.9241,-2.6563,-8.2573,0,REST
40,0.15625,-8.2251,-10.6624,-3.9448,-6.362,0,REST
41,0.16015625,-4.5082,-13.2947,-7.2891,-11.0938,0,REST
42,0.1640625,-8.4558,-9.7882,-5.255,-6.7384,0,REST
43,0.16796875,-11.8707,-11.1386,-4.6169,-7.1541,0,REST
